Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
27817348,WHOSIS_000003,REGION,AFR,YEAR,1990,SEX,BTSX,,,,,,,44.8 [43.07-46.77],44.80407,43.06929,46.77133,,2022-01-18T13:12:58Z,1990,1990-01-01,1990-12-31
27817349,WHOSIS_000003,REGION,AFR,YEAR,1991,SEX,BTSX,,,,,,,44.44 [42.76-46.35],44.44097,42.7595,46.34583,,2022-01-18T13:12:58Z,1991,1991-01-01,1991-12-31
27817350,WHOSIS_000003,REGION,AFR,YEAR,1992,SEX,BTSX,,,,,,,44.11 [42.47-46.0],44.11491,42.47348,45.99894,,2022-01-18T13:12:58Z,1992,1992-01-01,1992-12-31
27817351,WHOSIS_000003,REGION,AFR,YEAR,1993,SEX,BTSX,,,,,,,43.81 [42.16-45.68],43.81203,42.15783,45.67856,,2022-01-18T13:12:58Z,1993,1993-01-01,1993-12-31
27817352,WHOSIS_000003,REGION,AFR,YEAR,1994,SEX,BTSX,,,,,,,43.5 [41.88-45.35],43.49713,41.87695,45.34716,,2022-01-18T13:12:58Z,1994,1994-01-01,1994-12-31
27817353,WHOSIS_000003,REGION,AFR,YEAR,1995,SEX,BTSX,,,,,,,43.09 [41.49-44.93],43.09305,41.48631,44.92726,,2022-01-18T13:12:58Z,1995,1995-01-01,1995-12-31
27817354,WHOSIS_000003,REGION,AFR,YEAR,1996,SEX,BTSX,,,,,,,42.65 [41.07-44.45],42.64975,41.06536,44.4502,,2022-01-18T13:12:58Z,1996,1996-01-01,1996-12-31
27817355,WHOSIS_000003,REGION,AFR,YEAR,1997,SEX,BTSX,,,,,,,42.12 [40.54-43.87],42.11728,40.53667,43.87208,,2022-01-18T13:12:58Z,1997,1997-01-01,1997-12-31
27817356,WHOSIS_000003,REGION,AFR,YEAR,1998,SEX,BTSX,,,,,,,41.48 [39.94-43.23],41.4793,39.93958,43.2262,,2022-01-18T13:12:58Z,1998,1998-01-01,1998-12-31
27817357,WHOSIS_000003,REGION,AFR,YEAR,1999,SEX,BTSX,,,,,,,40.74 [39.24-42.44],40.73922,39.24213,42.43603,,2022-01-18T13:12:58Z,1999,1999-01-01,1999-12-31
27817358,WHOSIS_000003,REGION,AFR,YEAR,2000,SEX,BTSX,,,,,,,39.91 [38.44-41.57],39.91192,38.43516,41.57279,,2022-01-18T13:12:58Z,2000,2000-01-01,2000-12-31
27817359,WHOSIS_000003,REGION,AFR,YEAR,2001,SEX,BTSX,,,,,,,39.01 [37.57-40.64],39.01279,37.56659,40.64291,,2022-01-18T13:12:58Z,2001,2001-01-01,2001-12-31
27817360,WHOSIS_000003,REGION,AFR,YEAR,2002,SEX,BTSX,,,,,,,38.07 [36.66-39.65],38.07401,36.65564,39.65431,,2022-01-18T13:12:58Z,2002,2002-01-01,2002-12-31
27817361,WHOSIS_000003,REGION,AFR,YEAR,2003,SEX,BTSX,,,,,,,37.14 [35.76-38.68],37.13635,35.76221,38.67823,,2022-01-18T13:12:58Z,2003,2003-01-01,2003-12-31
27817362,WHOSIS_000003,REGION,AFR,YEAR,2004,SEX,BTSX,,,,,,,36.23 [34.89-37.71],36.22551,34.89358,37.71326,,2022-01-18T13:12:58Z,2004,2004-01-01,2004-12-31
27817363,WHOSIS_000003,REGION,AFR,YEAR,2005,SEX,BTSX,,,,,,,35.35 [34.04-36.81],35.35406,34.04214,36.81187,,2022-01-18T13:12:58Z,2005,2005-01-01,2005-12-31
27817364,WHOSIS_000003,REGION,AFR,YEAR,2006,SEX,BTSX,,,,,,,34.55 [33.25-36.04],34.55153,33.24691,36.03807,,2022-01-18T13:12:58Z,2006,2006-01-01,2006-12-31
27817365,WHOSIS_000003,REGION,AFR,YEAR,2007,SEX,BTSX,,,,,,,33.8 [32.52-35.3],33.80499,32.51507,35.29791,,2022-01-18T13:12:58Z,2007,2007-01-01,2007-12-31
27817366,WHOSIS_000003,REGION,AFR,YEAR,2008,SEX,BTSX,,,,,,,33.1 [31.79-34.61],33.10093,31.7865,34.60648,,2022-01-18T13:12:58Z,2008,2008-01-01,2008-12-31
27817367,WHOSIS_000003,REGION,AFR,YEAR,2009,SEX,BTSX,,,,,,,32.43 [31.12-33.98],32.42779,31.11609,33.97774,,2022-01-18T13:12:58Z,2009,2009-01-01,2009-12-31
27817368,WHOSIS_000003,REGION,AFR,YEAR,2010,SEX,BTSX,,,,,,,31.78 [30.44-33.4],31.77688,30.44482,33.39909,,2022-01-18T13:12:58Z,2010,2010-01-01,2010-12-31
27817369,WHOSIS_000003,REGION,AFR,YEAR,2011,SEX,BTSX,,,,,,,31.18 [29.81-32.89],31.18279,29.80578,32.89422,,2022-01-18T13:12:58Z,2011,2011-01-01,2011-12-31
27817370,WHOSIS_000003,REGION,AFR,YEAR,2012,SEX,BTSX,,,,,,,30.62 [29.19-32.44],30.62061,29.18982,32.44433,,2022-01-18T13:12:58Z,2012,2012-01-01,2012-12-31
27817371,WHOSIS_000003,REGION,AFR,YEAR,2013,SEX,BTSX,,,,,,,30.09 [28.59-32.08],30.08938,28.58646,32.07667,,2022-01-18T13:12:58Z,2013,2013-01-01,2013-12-31
27817372,WHOSIS_000003,REGION,AFR,YEAR,2014,SEX,BTSX,,,,,,,29.57 [27.99-31.77],29.57318,27.98939,31.7704,,2022-01-18T13:12:58Z,2014,2014-01-01,2014-12-31
27817373,WHOSIS_000003,REGION,AFR,YEAR,2015,SEX,BTSX,,,,,,,29.09 [27.4-31.55],29.08878,27.40122,31.54837,,2022-01-18T13:12:58Z,2015,2015-01-01,2015-12-31
27817374,WHOSIS_000003,REGION,AFR,YEAR,2016,SEX,BTSX,,,,,,,28.62 [26.78-31.39],28.61682,26.78356,31.38839,,2022-01-18T13:12:58Z,2016,2016-01-01,2016-12-31
27817375,WHOSIS_000003,REGION,AFR,YEAR,2017,SEX,BTSX,,,,,,,28.15 [26.2-31.28],28.14994,26.19541,31.27761,,2022-01-18T13:12:58Z,2017,2017-01-01,2017-12-31
27817376,WHOSIS_000003,REGION,AFR,YEAR,2018,SEX,BTSX,,,,,,,27.66 [25.56-31.19],27.66225,25.56286,31.19087,,2022-01-18T13:12:58Z,2018,2018-01-01,2018-12-31
27817377,WHOSIS_000003,REGION,AFR,YEAR,2019,SEX,BTSX,,,,,,,27.18 [24.93-31.14],27.17655,24.92589,31.14266,,2022-01-18T13:12:58Z,2019,2019-01-01,2019-12-31
27817378,WHOSIS_000003,REGION,AFR,YEAR,2020,SEX,BTSX,,,,,,,26.68 [24.25-31.1],26.68336,24.24931,31.09936,,2022-01-18T13:12:58Z,2020,2020-01-01,2020-12-31
27817379,WHOSIS_000003,REGION,AMR,YEAR,1990,SEX,BTSX,,,,,,,18.06 [17.24-18.98],18.06423,17.2445,18.98227,,2022-01-18T13:12:58Z,1990,1990-01-01,1990-12-31
27817380,WHOSIS_000003,REGION,AMR,YEAR,1991,SEX,BTSX,,,,,,,17.51 [16.72-18.39],17.51327,16.71955,18.38865,,2022-01-18T13:12:58Z,1991,1991-01-01,1991-12-31
27817381,WHOSIS_000003,REGION,AMR,YEAR,1992,SEX,BTSX,,,,,,,17.01 [16.24-17.84],17.00892,16.23776,17.84316,,2022-01-18T13:12:58Z,1992,1992-01-01,1992-12-31
27817382,WHOSIS_000003,REGION,AMR,YEAR,1993,SEX,BTSX,,,,,,,16.53 [15.77-17.35],16.52961,15.77116,17.34544,,2022-01-18T13:12:58Z,1993,1993-01-01,1993-12-31
27817383,WHOSIS_000003,REGION,AMR,YEAR,1994,SEX,BTSX,,,,,,,16.05 [15.31-16.85],16.04747,15.30831,16.84754,,2022-01-18T13:12:58Z,1994,1994-01-01,1994-12-31
27817384,WHOSIS_000003,REGION,AMR,YEAR,1995,SEX,BTSX,,,,,,,15.54 [14.81-16.34],15.54085,14.80714,16.3365,,2022-01-18T13:12:58Z,1995,1995-01-01,1995-12-31
27817385,WHOSIS_000003,REGION,AMR,YEAR,1996,SEX,BTSX,,,,,,,15.02 [14.29-15.8],15.01834,14.29425,15.79783,,2022-01-18T13:12:58Z,1996,1996-01-01,1996-12-31
27817386,WHOSIS_000003,REGION,AMR,YEAR,1997,SEX,BTSX,,,,,,,14.51 [13.8-15.27],14.50832,13.80075,15.26793,,2022-01-18T13:12:58Z,1997,1997-01-01,1997-12-31
27817387,WHOSIS_000003,REGION,AMR,YEAR,1998,SEX,BTSX,,,,,,,14.03 [13.34-14.76],14.03261,13.33935,14.75847,,2022-01-18T13:12:58Z,1998,1998-01-01,1998-12-31
27817388,WHOSIS_000003,REGION,AMR,YEAR,1999,SEX,BTSX,,,,,,,13.57 [12.91-14.26],13.57303,12.9054,14.26037,,2022-01-18T13:12:58Z,1999,1999-01-01,1999-12-31
27817389,WHOSIS_000003,REGION,AMR,YEAR,2000,SEX,BTSX,,,,,,,13.03 [12.42-13.69],13.03488,12.41595,13.69341,,2022-01-18T13:12:58Z,2000,2000-01-01,2000-12-31
27817390,WHOSIS_000003,REGION,AMR,YEAR,2001,SEX,BTSX,,,,,,,12.49 [11.92-13.1],12.49189,11.92409,13.10116,,2022-01-18T13:12:58Z,2001,2001-01-01,2001-12-31
27817391,WHOSIS_000003,REGION,AMR,YEAR,2002,SEX,BTSX,,,,,,,11.95 [11.44-12.51],11.94861,11.43728,12.50926,,2022-01-18T13:12:58Z,2002,2002-01-01,2002-12-31
27817392,WHOSIS_000003,REGION,AMR,YEAR,2003,SEX,BTSX,,,,,,,11.44 [10.97-11.95],11.43848,10.97039,11.94701,,2022-01-18T13:12:58Z,2003,2003-01-01,2003-12-31
27817393,WHOSIS_000003,REGION,AMR,YEAR,2004,SEX,BTSX,,,,,,,10.96 [10.54-11.42],10.95766,10.54298,11.42009,,2022-01-18T13:12:58Z,2004,2004-01-01,2004-12-31
27817394,WHOSIS_000003,REGION,AMR,YEAR,2005,SEX,BTSX,,,,,,,10.52 [10.15-10.94],10.52498,10.15197,10.94033,,2022-01-18T13:12:58Z,2005,2005-01-01,2005-12-31
27817395,WHOSIS_000003,REGION,AMR,YEAR,2006,SEX,BTSX,,,,,,,10.15 [9.82-10.52],10.15018,9.82093,10.51844,,2022-01-18T13:12:58Z,2006,2006-01-01,2006-12-31
27817396,WHOSIS_000003,REGION,AMR,YEAR,2007,SEX,BTSX,,,,,,,9.83 [9.54-10.17],9.83348,9.54058,10.17259,,2022-01-18T13:12:58Z,2007,2007-01-01,2007-12-31
27817397,WHOSIS_000003,REGION,AMR,YEAR,2008,SEX,BTSX,,,,,,,9.55 [9.29-9.86],9.55004,9.28667,9.86003,,2022-01-18T13:12:58Z,2008,2008-01-01,2008-12-31
27817398,WHOSIS_000003,REGION,AMR,YEAR,2009,SEX,BTSX,,,,,,,9.29 [9.04-9.59],9.28955,9.04438,9.59065,,2022-01-18T13:12:58Z,2009,2009-01-01,2009-12-31
27817399,WHOSIS_000003,REGION,AMR,YEAR,2010,SEX,BTSX,,,,,,,9.1 [8.86-9.39],9.09631,8.86007,9.39073,,2022-01-18T13:12:58Z,2010,2010-01-01,2010-12-31
27817400,WHOSIS_000003,REGION,AMR,YEAR,2011,SEX,BTSX,,,,,,,8.87 [8.64-9.17],8.87131,8.6388,9.16919,,2022-01-18T13:12:58Z,2011,2011-01-01,2011-12-31
27817401,WHOSIS_000003,REGION,AMR,YEAR,2012,SEX,BTSX,,,,,,,8.7 [8.47-9.01],8.70172,8.46523,9.00826,,2022-01-18T13:12:58Z,2012,2012-01-01,2012-12-31
27817402,WHOSIS_000003,REGION,AMR,YEAR,2013,SEX,BTSX,,,,,,,8.51 [8.27-8.82],8.51189,8.27084,8.82479,,2022-01-18T13:12:58Z,2013,2013-01-01,2013-12-31
27817403,WHOSIS_000003,REGION,AMR,YEAR,2014,SEX,BTSX,,,,,,,8.3 [8.05-8.63],8.29758,8.05155,8.62675,,2022-01-18T13:12:58Z,2014,2014-01-01,2014-12-31
27817404,WHOSIS_000003,REGION,AMR,YEAR,2015,SEX,BTSX,,,,,,,8.24 [7.98-8.59],8.23591,7.97609,8.58677,,2022-01-18T13:12:58Z,2015,2015-01-01,2015-12-31
27817405,WHOSIS_000003,REGION,AMR,YEAR,2016,SEX,BTSX,,,,,,,8.25 [7.98-8.64],8.25441,7.97598,8.64127,,2022-01-18T13:12:58Z,2016,2016-01-01,2016-12-31
27817406,WHOSIS_000003,REGION,AMR,YEAR,2017,SEX,BTSX,,,,,,,8.01 [7.71-8.44],8.01469,7.70842,8.4369,,2022-01-18T13:12:58Z,2017,2017-01-01,2017-12-31
27817407,WHOSIS_000003,REGION,AMR,YEAR,2018,SEX,BTSX,,,,,,,7.87 [7.52-8.34],7.86729,7.52263,8.34343,,2022-01-18T13:12:58Z,2018,2018-01-01,2018-12-31
