Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
27817131,CM_03,REGION,AFR,YEAR,1990,SEX,BTSX,,,,,,,988 433 [950 189-1 031 822],988433,950189,1031822,,2022-01-18T13:12:54Z,1990,1990-01-01,1990-12-31
27817132,CM_03,REGION,AFR,YEAR,1991,SEX,BTSX,,,,,,,998 409 [960 658-1 041 173],998409,960658,1041173,,2022-01-18T13:12:54Z,1991,1991-01-01,1991-12-31
27817133,CM_03,REGION,AFR,YEAR,1992,SEX,BTSX,,,,,,,1 009 373 [971 837-1 052 447],1009373,971837,1052447,,2022-01-18T13:12:54Z,1992,1992-01-01,1992-12-31
27817134,CM_03,REGION,AFR,YEAR,1993,SEX,BTSX,,,,,,,1 021 248 [982 714-1 064 719],1021248,982714,1064719,,2022-01-18T13:12:54Z,1993,1993-01-01,1993-12-31
27817135,CM_03,REGION,AFR,YEAR,1994,SEX,BTSX,,,,,,,1 033 355 [994 886-1 077 277],1033355,994886,1077277,,2022-01-18T13:12:54Z,1994,1994-01-01,1994-12-31
27817136,CM_03,REGION,AFR,YEAR,1995,SEX,BTSX,,,,,,,1 043 849 [1 004 951-1 088 244],1043849,1004951,1088244,,2022-01-18T13:12:54Z,1995,1995-01-01,1995-12-31
27817137,CM_03,REGION,AFR,YEAR,1996,SEX,BTSX,,,,,,,1 053 788 [1 014 660-1 098 236],1053788,1014660,1098236,,2022-01-18T13:12:54Z,1996,1996-01-01,1996-12-31
27817138,CM_03,REGION,AFR,YEAR,1997,SEX,BTSX,,,,,,,1 061 696 [1 021 874-1 105 900],1061696,1021874,1105900,,2022-01-18T13:12:54Z,1997,1997-01-01,1997-12-31
27817139,CM_03,REGION,AFR,YEAR,1998,SEX,BTSX,,,,,,,1 066 920 [1 027 342-1 111 825],1066920,1027342,1111825,,2022-01-18T13:12:54Z,1998,1998-01-01,1998-12-31
27817140,CM_03,REGION,AFR,YEAR,1999,SEX,BTSX,,,,,,,1 069 376 [1 030 099-1 113 883],1069376,1030099,1113883,,2022-01-18T13:12:54Z,1999,1999-01-01,1999-12-31
27817141,CM_03,REGION,AFR,YEAR,2000,SEX,BTSX,,,,,,,1 069 360 [1 029 815-1 113 835],1069360,1029815,1113835,,2022-01-18T13:12:54Z,2000,2000-01-01,2000-12-31
27817142,CM_03,REGION,AFR,YEAR,2001,SEX,BTSX,,,,,,,1 067 276 [1 027 729-1 111 834],1067276,1027729,1111834,,2022-01-18T13:12:54Z,2001,2001-01-01,2001-12-31
27817143,CM_03,REGION,AFR,YEAR,2002,SEX,BTSX,,,,,,,1 063 874 [1 024 255-1 107 991],1063874,1024255,1107991,,2022-01-18T13:12:54Z,2002,2002-01-01,2002-12-31
27817144,CM_03,REGION,AFR,YEAR,2003,SEX,BTSX,,,,,,,1 060 142 [1 020 933-1 104 133],1060142,1020933,1104133,,2022-01-18T13:12:54Z,2003,2003-01-01,2003-12-31
27817145,CM_03,REGION,AFR,YEAR,2004,SEX,BTSX,,,,,,,1 056 637 [1 017 799-1 100 012],1056637,1017799,1100012,,2022-01-18T13:12:54Z,2004,2004-01-01,2004-12-31
27817146,CM_03,REGION,AFR,YEAR,2005,SEX,BTSX,,,,,,,1 053 601 [1 014 519-1 097 017],1053601,1014519,1097017,,2022-01-18T13:12:54Z,2005,2005-01-01,2005-12-31
27817147,CM_03,REGION,AFR,YEAR,2006,SEX,BTSX,,,,,,,1 051 791 [1 012 094-1 097 017],1051791,1012094,1097017,,2022-01-18T13:12:54Z,2006,2006-01-01,2006-12-31
27817148,CM_03,REGION,AFR,YEAR,2007,SEX,BTSX,,,,,,,1 050 709 [1 010 635-1 097 075],1050709,1010635,1097075,,2022-01-18T13:12:54Z,2007,2007-01-01,2007-12-31
27817149,CM_03,REGION,AFR,YEAR,2008,SEX,BTSX,,,,,,,1 049 793 [1 008 130-1 097 506],1049793,1008130,1097506,,2022-01-18T13:12:54Z,2008,2008-01-01,2008-12-31
27817150,CM_03,REGION,AFR,YEAR,2009,SEX,BTSX,,,,,,,1 048 577 [1 006 176-1 098 662],1048577,1006176,1098662,,2022-01-18T13:12:55Z,2009,2009-01-01,2009-12-31
27817151,CM_03,REGION,AFR,YEAR,2010,SEX,BTSX,,,,,,,1 046 644 [1 002 780-1 100 037],1046644,1002780,1100037,,2022-01-18T13:12:55Z,2010,2010-01-01,2010-12-31
27817152,CM_03,REGION,AFR,YEAR,2011,SEX,BTSX,,,,,,,1 045 054 [998 931-1 102 388],1045054,998931,1102388,,2022-01-18T13:12:55Z,2011,2011-01-01,2011-12-31
27817153,CM_03,REGION,AFR,YEAR,2012,SEX,BTSX,,,,,,,1 043 129 [994 413-1 105 216],1043129,994413,1105216,,2022-01-18T13:12:55Z,2012,2012-01-01,2012-12-31
27817154,CM_03,REGION,AFR,YEAR,2013,SEX,BTSX,,,,,,,1 040 999 [989 017-1 109 719],1040999,989017,1109719,,2022-01-18T13:12:55Z,2013,2013-01-01,2013-12-31
27817155,CM_03,REGION,AFR,YEAR,2014,SEX,BTSX,,,,,,,1 038 241 [982 651-1 115 338],1038241,982651,1115338,,2022-01-18T13:12:55Z,2014,2014-01-01,2014-12-31
27817156,CM_03,REGION,AFR,YEAR,2015,SEX,BTSX,,,,,,,1 035 631 [975 565-1 123 163],1035631,975565,1123163,,2022-01-18T13:12:55Z,2015,2015-01-01,2015-12-31
27817157,CM_03,REGION,AFR,YEAR,2016,SEX,BTSX,,,,,,,1 032 699 [966 550-1 132 646],1032699,966550,1132646,,2022-01-18T13:12:55Z,2016,2016-01-01,2016-12-31
27817158,CM_03,REGION,AFR,YEAR,2017,SEX,BTSX,,,,,,,1 029 396 [957 951-1 143 720],1029396,957951,1143720,,2022-01-18T13:12:55Z,2017,2017-01-01,2017-12-31
27817159,CM_03,REGION,AFR,YEAR,2018,SEX,BTSX,,,,,,,1 024 949 [947 189-1 155 609],1024949,947189,1155609,,2022-01-18T13:12:55Z,2018,2018-01-01,2018-12-31
27817160,CM_03,REGION,AFR,YEAR,2019,SEX,BTSX,,,,,,,1 020 272 [935 798-1 169 051],1020272,935798,1169051,,2022-01-18T13:12:55Z,2019,2019-01-01,2019-12-31
27817161,CM_03,REGION,AFR,YEAR,2020,SEX,BTSX,,,,,,,1 015 063 [922 482-1 182 954],1015063,922482,1182954,,2022-01-18T13:12:55Z,2020,2020-01-01,2020-12-31
27817162,CM_03,REGION,AMR,YEAR,1990,SEX,BTSX,,,,,,,292 254 [278 989-307 103],292254,278989,307103,,2022-01-18T13:12:55Z,1990,1990-01-01,1990-12-31
27817163,CM_03,REGION,AMR,YEAR,1991,SEX,BTSX,,,,,,,283 616 [270 765-297 786],283616,270765,297786,,2022-01-18T13:12:55Z,1991,1991-01-01,1991-12-31
27817164,CM_03,REGION,AMR,YEAR,1992,SEX,BTSX,,,,,,,275 434 [262 949-288 939],275434,262949,288939,,2022-01-18T13:12:55Z,1992,1992-01-01,1992-12-31
27817165,CM_03,REGION,AMR,YEAR,1993,SEX,BTSX,,,,,,,267 379 [255 112-280 574],267379,255112,280574,,2022-01-18T13:12:55Z,1993,1993-01-01,1993-12-31
27817166,CM_03,REGION,AMR,YEAR,1994,SEX,BTSX,,,,,,,259 050 [247 122-271 962],259050,247122,271962,,2022-01-18T13:12:55Z,1994,1994-01-01,1994-12-31
